Product Number,Name,Price,Original Price,Ratings,Viewers
1,"LG 43"" 4K UHD HDR LED webOS Smart TV (43UQ7590PUB) - 2022 - Dark Iron Grey",399.99,449.99,4.53,2101
2,"Open Box - Samsung 43"" 1080p HD LED Tizen Smart TV (UN43N5300AFXZC) - Glossy Black",297.99,,3,2
3,"Toshiba 43"" 4K UHD HDR LED Smart TV (43C350KC) - Fire TV Edition - 2021 - Only at Best Buy",529.99,,3.38,13
4,"Sony W830K 32"" 720p HD HDR LED Smart Google TV (KD32W830K) - 2022",399.99,,4.56,119
5,"LG 43"" 4K UHD HDR LED webOS Smart TV (43UQ7590PUB) - 2022 - Dark Iron Grey",399.99,449.99,4.53,2101
6,"Open Box - Samsung 43"" 1080p HD LED Tizen Smart TV (UN43N5300AFXZC) - Glossy Black",297.99,,3,2
7,"Toshiba 43"" 4K UHD HDR LED Smart TV (43C350KC) - Fire TV Edition - 2021 - Only at Best Buy",529.99,,3.38,13
8,"Sony W830K 32"" 720p HD HDR LED Smart Google TV (KD32W830K) - 2022",399.99,,4.56,119
9,"LG 43"" 4K UHD HDR LED webOS Smart TV (43UQ7590PUB) - 2022 - Dark Iron Grey",399.99,449.99,4.53,2101
10,"Sony BRAVIA XR 100"" 4K UHD HDR LED Google Smart TV (XR100X92) - 2021",13999.99,19999.989999999998,3.62,13
11,"Toshiba 50"" 4K UHD HDR LED Fire Smart TV (50C350LC) - 2023 - Only at Best Buy",599.99,,4.86,7
12,"Toshiba 55"" 4K UHD HDR LED Fire Smart TV (55C350LC) - 2023 - Only at Best Buy",649.99,,4.4,5
13,"Insignia 42"" 1080p LED Smart TV (NS-42F201CA23) - Fire TV Edition - 2022 - Only at Best Buy",399.99,,4.65,1159
14,"TCL 55"" S-Class 4K UHD HDR LED Smart Google TV (55S450G-CA) - 2023",429.99,449.99,4.63,128
15,"Open Box - Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU7000FXZC) - Titan Grey",599.99,679.99,2.33,6
16,"Sony X80K 75"" 4K UHD HDR LED Smart Google TV (KD75X80K) - 2022",1499.99,,4.68,577
17,"Samsung 43"" 4K UHD HDR LED Tizen Smart TV (UN43TU690TFXZC) - 2022",399.99,,4.6,1209
18,"LG 43"" 4K UHD HDR LED webOS Smart TV (43UQ7590PUB) - 2022 - Dark Iron Grey",399.99,449.99,4.53,2101
19,"Samsung 65"" 4K UHD HDR QLED Smart TV (QN65Q70CAFXZC) - 2023 - Only at Best Buy",1399.99,1599.99,4.69,232
20,"Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55CU7000FXZC) - 2023 - Titan Grey",699.99,749.99,4.63,1373
21,"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65TU690TFXZC) - 2022 - Only at Best Buy",749.99,799.99,4.57,560
22,"Toshiba 43"" 4K UHD HDR LED Fire Smart TV (43C350LC) - 2023 - Only at Best Buy",349.99,529.99,3,2
23,"Insignia 32"" 720p HD LED TV (NS-32D310CA21) - 2020 - Only at Best Buy",149.99,199.99,4.6,4167
24,"LG NanoCell 65"" 4K UHD HDR LED webOS Smart TV (65NANO75UQA) - 2022 - Ashed Blue",899.99,1399.99,4.44,525
25,"Philips 50"" 4K UHD HDR LCD Direct Lit Roku Smart TV (50PUL6673/F6) - 2023",449.99,,3.82,11
26,"Samsung 65"" 4K UHD HDR QLED Smart TV (QN65Q60CAFXZC) - 2023 - Titan Grey",1299.99,,4.78,388
27,"LG 65"" 4K UHD HDR LED webOS Smart TV (65UQ7570PUJ) - 2023 - Black",749.99,,4.38,258
28,"Samsung The Frame 65"" 4K UHD HDR QLED Tizen Smart TV (QN65LS03BAFXZC) - 2022 - Charcoal Black",2499.99,2699.99,4.57,501
29,"TCL 43"" S-Class 4K UHD HDR LED Smart Google TV (43S450G-CA) - 2023",299.99,329.99,4.65,91
30,"TCL 50"" S-Class 4K UHD HDR LED Smart Google TV (50S450G-CA) - 2023",379.99,399.99,4.82,104
31,"LG 65"" 4K UHD HDR OLED webOS Evo ThinQ AI Smart TV (OLED65C3PUA) - 2023",2699.99,3099.99,4.79,303
32,"Samsung The Frame 55"" 4K UHD HDR QLED Tizen Smart TV (QN55LS03BAFXZC) - 2022 - Charcoal Black",1599.99,1699.99,4.58,502
33,"LG NanoCell 65"" 4K UHD HDR LED webOS Smart TV (65NANO75UQA) - 2022 - Ashed Blue",899.99,1399.99,4.44,525
34,"Hisense A68H 75"" 4K UHD HDR LCD Smart Google TV (75A68H) - 2022",799.99,999.99,4.65,20
35,"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65CU7000FXZC) - 2023 - Titan Grey",849.99,949.99,4.66,1622
